id,name,original_name,director,mother_company,length_minutes,year,country,picture_format,age_limit,number_of_disks,weight,rating,num_of_rates,price,picture
57744,'just name','just orig name','just dir name','just mc name','89','2014','Великобритания| Франция| Швеция| США','PAL | 1080p Full High Definition 16:9 (1.85:1)','16+',1,65.0,'4.4',63,404.0,'./img/57744jpg'
27236,'just name','just orig name','just dir name','just mc name','108','1997','США','PAL | 1080p HD широкоэкранный формат 16:9 2.35:1','16+',1,65.0,'4.5',64,534.0,'./img/27236jpg'
40300,'just name','just orig name','just dir name','just mc name','95','2011','США| ОАЭ','PAL | 1080p High Definition 16:9 (2.35:1)| WideScreen 16:9 (1.78:1).','12+',2,115.0,'4.4',40,299.0,'./img/40300jpg'
34215,'just name','just orig name','just dir name','just mc name','98','2011','США','PAL | 1080p Animorphic 16:9 2.35:1','18+',1,70.0,'4.6',34,534.0,'./img/34215jpg'
96059,'just name','just orig name','just dir name','just mc name','133','2017','Россия','PAL | 1080p High Definition 16:9','12+',1,65.0,'4.4',49,529.0,'./img/96059jpg'
115973,'just name','just orig name','just dir name','just mc name','110','2018','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','18+',2,95.0,'4.5',68,674.0,'./img/115973jpg'
202113,'just name','just orig name','just dir name','just mc name','99','2011','США','PAL | 1080p Full High Definition 16:9 (2.35:1)','6+',2,105.0,'4.5',85,499.0,'./img/202113jpg'
127654,'just name','just orig name','just dir name','just mc name','87','2008','Великобритания','PAL | Anamorphic WideScreen 2.35:1','18+',1,105.0,'4.4',57,674.0,'./img/127654jpg'
85566,'just name','just orig name','just dir name','just mc name','123','2015','США','PAL | 1080p High Definition 16:9 2.40:1','12+',1,65.0,'4.6',46,349.0,'./img/85566jpg'
210860,'just name','just orig name','just dir name','just mc name','111','2019','Япония','PAL | 1080p High Definition 16:9','12+',1,70.0,'4.5',104,799.0,'./img/210860jpg'
160359,'just name','just orig name','just dir name','just mc name','100','2019','США','PAL | 1080p Full High Definition 16:9 (2.35:1)','18+',1,145.0,'4.4',64,990.0,'./img/160359jpg'
26143,'just name','just orig name','just dir name','just mc name','140','2010','США| Великобритания','PAL | 1080p High Definition 16:9 (2.40:1)','',1,65.0,'4.6',49,1190.0,'./img/26143jpg'
122844,'just name','just orig name','just dir name','just mc name','93','2017','США','PAL | 1080p Full High Definition 16:9 (1.66:1)','18+',1,70.0,'4.4',56,674.0,'./img/122844jpg'
114069,'just name','just orig name','just dir name','just mc name','111','2017','Россия','PAL | 1080p Full High Definition 16:9','12+',1,65.0,'4.3',40,349.0,'./img/114069jpg'
27075,'just name','just orig name','just dir name','just mc name','105','2006','США','PAL | 1080p Full High Definition 16:9 (1.85:1)','16+',1,80.0,'4.5',50,259.0,'./img/27075jpg'
38665,'just name','just orig name','just dir name','just mc name','114','2011','США| Австралия','PAL | 1080p Full High Definition 16:9 (1.78:1)','16+',1,70.0,'4.6',50,281.0,'./img/38665jpg'
85555,'just name','just orig name','just dir name','just mc name','135','1968','США','PAL | Widescreen 1.85:1','16+',1,65.0,'4.5',59,305.0,'./img/85555jpg'
128449,'just name','just orig name','just dir name','just mc name','122','1998','США| Канада','PAL | 1080p Full High Definition 16:9 (2.35:1)','16+',1,70.0,'4.4',48,674.0,'./img/128449jpg'
47197,'just name','just orig name','just dir name','just mc name','97','2013','США','PAL | 1080p High Definition 16:9','0+',1,70.0,'4.5',58,349.0,'./img/47197jpg'
49028,'just name','just orig name','just dir name','just mc name','91','2013','США','PAL | 1080p High Definition 16:9 (1.77:1)','0+',1,70.0,'4.5',42,349.0,'./img/49028jpg'
46306,'just name','just orig name','just dir name','just mc name','116','2012','США','PAL | Animorphic WideScreen 16:9 (1.78:1)','18+',1,60.0,'4.4',54,649.0,'./img/46306jpg'
34482,'just name','just orig name','just dir name','just mc name','91','2005','США','PAL | 1080p High Definition 16:9 (1.78)','18+',1,70.0,'4.4',33,499.0,'./img/34482jpg'
33985,'just name','just orig name','just dir name','just mc name','102','2010','Россия','PAL | 1080p High Definition 16:9','16+',1,70.0,'4.3',58,349.0,'./img/33985jpg'
146712,'just name','just orig name','just dir name','just mc name','92','2018','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','12+',1,65.0,'4.6',34,599.0,'./img/146712jpg'
135850,'just name','just orig name','just dir name','just mc name','105','2018','США| Индия| Канада','PAL | 1080p High Definition 16:9 (2.39:1)','12+',1,85.0,'4.6',54,599.0,'./img/135850jpg'
81831,'just name','just orig name','just dir name','just mc name','110','2016','США','PAL | 1080p High Definition 16:9 (2.40:1)','16+',1,70.0,'4.5',52,499.0,'./img/81831jpg'
158066,'just name','just orig name','just dir name','just mc name','278','2016','США| Великобритания| Япония','PAL | 1080p Full High Definition 16:9 (1.85:1)','6+',3,215.0,'4.5',315,1488.0,'./img/158066jpg'
90301,'just name','just orig name','just dir name','just mc name','174','1960','Италия| Франция','PAL | 1080p High Definition 16:9 (2.35:1)','16+',1,60.0,'4.3',49,449.0,'./img/90301jpg'
33908,'just name','just orig name','just dir name','just mc name','110','2010','ЮАР','PAL | 1080p Full High Definition 16:9 (1.78:1)','18+',1,65.0,'4.6',68,349.0,'./img/33908jpg'
145833,'just name','just orig name','just dir name','just mc name','110','1961','Япония','PAL | 1080i High Definition 16:9','16+',1,70.0,'4.5',42,319.0,'./img/145833jpg'
41126,'just name','just orig name','just dir name','just mc name','107','2008','США| Германия','PAL | 1080p Full High Definition 16:9 (2.35:1)','18+',1,75.0,'4.6',62,799.0,'./img/41126jpg'
33472,'just name','just orig name','just dir name','just mc name','106','2010','Россия','PAL | 1080p High Definition 16:9 (1.78:1)','16+',1,80.0,'4.6',43,171.0,'./img/33472jpg'
